id,deceptive,hotel,polarity,source,text
1,deceptive,hilton,negative,MTurk,stayed schicago hilton day night conference say normally easy go amenity cleanliness like however experience hilton awful take time actually write review truly stay hotel arrive room clear carpet nt vacuumed figuered okay carpet saw bathroom although bathroom superficial indicator housekeep recently clean ie paper band across toilet paper cap drinking glass etc clear actual cleaning take place spot probably urine toilet seat kid remnant lipsmudge glass know people work many year hotel industry always warn lazy housekeep make thing appear clean fact make effort keep thing sanitary well hilton proof call downstairs complain sent chambermaid hour later frankly found room disgust hotel outside room cavernous unwelcoming awful echo lobby area create migraineinducing din rarely eager leave place get home wash clothes whether worn skeeviness accomodations please favor stay clean hotel
2,deceptive,hilton,negative,MTurk,hotel locate mile train station quite hike travel luggage andor kid seem cash guest arrive private car charge exorbitant parkingvalet fee room feature either double king size bed queen bed want little extra leg room bed price jump double kingsized stiff room kind view pay healthy surcharge
3,deceptive,hilton,negative,MTurk,make reservation hilton chicago believe go stay classy hotel many amenity unfortunately stay hilton chicago go downhill moment checked one clerk front desk several guest already wait ahead finally get checked locate room discover neither room key work make way back front desk finally make room appear nice enough go use bathroom found toilet clog manager move new room ca nt complain much still hassle finally settle able relax rest even look forward sleep next morning front desk call wake call request needle say overall experience hotel left much desire choose accommodation next trip chicago
4,deceptive,hilton,negative,MTurk,people think hilton think luxury know wish half right upon arrive inform incompetent staff lose reservation entirely auspicious start find another room grant new room ohsoscenic view broadside adjacent building fine willing let slide nt want difficult follow day stay get little harder ignore minor problem make hilton undeserving term luxury hotel noisy neighbor rude staff state bathroom towel anything go upon checkout doubt sheet change even next time ignore hype stay somewhere cheaper service could nt possibly bad
5,deceptive,hilton,negative,MTurk,husband recently stayed stayed hilton chicago horrible experience arrive front desk clerk phone sound like personal call nt even acknowledge u least five minute get room go lay bed notice black hair pillow paranoid hotel dirty pull back sheet move pillow around notice several hair call new sheet say would send right actually take nearly minute second night decide try irish pub hotel call kitty osheas husband love pub food shepherd pie awful watery flavor cheap server seem annoyed complain offer take check great trip chicago hilton definitely highlight trip overall rude service dirty room bad food spend money elsewhere
6,deceptive,hilton,negative,MTurk,wife book room hilton chicago three weekend ago downtown hotel well know brand knew go pay little additional price expect get quality hotel expect minutia luxury however case hilton chicago first reserve room king size bed available stuck queen size bed get reduce price make reservation expect accommodate ask second change room key twice room key use supposedly lose charge front desk told u go room find key nt work come back stair get new key get back highly unprofessional really need look key system lastly told end stay charge room knew accurate always check case two week later checked credit card additional two hundred dollar charge card call argue twenty minute take card suffice say stay
7,deceptive,hilton,negative,MTurk,hotel rat four diamond aaa one would think hilton chicago would almost like stay palace royalty royal thing hotel however royal nightmare know moment walk wife go become big headache worth first soon arrive check hotel clerk could nt old nineteen twenty red flag start go clerk extremely rude lazy act like chore even get texting cell phone nt bad enough clerk pretty much ignore blatantly star wife breast nt even wear anything could consider skimpy cold wear turtle neck sweater large fur line coat divert atention several time finally get room key nt surprise learn one help u luggage clerk say break okay annoy manage easy enough finally get third floor suite reserve month look forward rest long trip surprise mention disgust horror already couple suppose room bed make take almost half hour couple room front desk wife get straighten apparently night clerk nt bother follow policy take reservation computer give friend leave print card day clerk could described chaos finally give another room next floor thankful get wife go use bathroom drop luggage bed hearing clink sound bent look one bag could hit see empty beer bottle stick bed call back give clerk piece mind heard wife cry wall bathroom several roach crawl around notice something else sink almost make u leave sink plain sight use condom far le thrill stomred back downstairs demand money back desk manager return ever go talk u take another room free charge make trouble room thankfully clean bug trash disgust item lay around despite lot small promise view room decide make due wife go get clean long trip pull laptop use call high speed internet access nt even bother use dial go least three time fast speed get quick call desk inform person responsible internet go day nothing could do moment instead worry go get something eat onsite din area yet met rude people either star wife chest forgot half order argue seem like forever get everything found found bland cold nt even bother try anything else final straw get thing found another hotel nt know would hire bunch rude employee barely high school could nt clean room know hotel nt deserve four diamond unless negative place shut way know run decent hotel
8,deceptive,hilton,negative,MTurk,high hope hilton chicago sad say disapointed outrageously expensive two people one night expect pay park car offer free wifi instead pay get internet room wait pm check even though flight morning rent car airport hotel offer transportation stress hilton chicago nt hotel bar either doubt stay
9,deceptive,hilton,negative,MTurk,book room hilton chicago two night stay weekend upon arrival reservation could found even provide hotel confirmation number still nt available fortunately another reservation show space available u settle room night long flight bad odor come bathroom apparently cleaning solution use taint reclean arrival needle say poor experience one night hesitant ever stay hotel let alone hilton around please consider someplace else hilton chicago
10,deceptive,hilton,negative,MTurk,stayed hotel chicago first absolutely horrify experience first staff incredibly rude could live busy person would get cell phone check want pull hair room also horrid smell like sex cigar smoke bad convince politician checked use cheap affair also look dry snot shower curtain mark word never stay dump
11,deceptive,hilton,negative,MTurk,stay hilton chicago quite unpleasant might ask well ill tell towel scratchy service terrible terrible mean nt even desk checked also order breakfast lunch dinner room service receive wrong order meal felt little sick lunch finally bill charge stuff nt want ask overall hotel bad unpleasant others give half star
12,deceptive,hilton,negative,MTurk,stayed two night hilton chicago last time stay arrive could believe hotel offer free parking want least pay stay night website also tout clean linen room clean believe linen clean problem pillow etc nt know people allergy also later found hotel allows pet think another part symptom like clean hotel without allergy attack suggest opt somewhere else stay like nickel dim end parking beware hidden cost try somewhere else future worth money sneeze night
13,deceptive,hilton,negative,MTurk,hilton chicago locate prime real estate downtown chicago age gracefully hotel around country open period time hotel maintain appearance luxury make iconic luxury accord 21st century standard lack form fitness center hilton almost alone among major hotel chicago force patron go elsewhere quick workout even nominal fee wireless internet use hotel room rare point outrageous parking fee guest discourage towner make hilton destination guest room different hilton anywhere meaning unless stay admittedly fantastic executive suite pay premium prosaic hotel experience
14,deceptive,hilton,negative,MTurk,stayed hilton chicago back july luxury hotel place meet expectation starter arrive fifteen minute early check told room would nt ready least another hour use hotel room ready well checkin timee since wait decide grab drink one hotel restaurant kitty osheas well must use almost whole hour wait drink finally get room ok although great price view anything speak even though paid view extra towel request call room service twice receive another two time air conditioner nt work fee internet ridiculous phone service terrible could barely use internet phone next time chicago area wo nt stay hilton recommend hotel people want waste money
15,deceptive,hilton,negative,MTurk,hilton chicago boast one great fall cliche hotel many different room suppose array choice king two bathroom lakeside view suite look good paper get bill pay huge fee seem like nice upgrade give nothing return staff nice stay hotel go way seek staff casual din atmosphere might nice college couple look getaway cheap next time stay chicago look elsewhere
16,deceptive,hilton,negative,MTurk,husband reserve room online chicago hilton look quit day away home work unfortunately found look first room small appear online photo floor look like nt clean check area room stayed thin wall could hear conversation guest side staff horrible ask turn service never receive would recommend hotel anyone chicago great place visit long stay hilton
17,deceptive,hilton,negative,MTurk,stayed hilton chicago recent business trip elect go executive suite upgrade say upgrade barely anything get normally price paid expect much better acommodations arrive around night checked delayed flight get concierge service stop find odd hour stop service like especially expect guest checked yet beyond take minute get room first room mixup miss key card extremely frustrate tire presentation give next morning speak next morning complimentary breakfast joke want stale muffin bad cup coffee breakfast stay next super find wireless internet room actually pay top everything else horrible connection angonizingly slow speed stay hilton chicago every even though frequent chicago top list horrible hotel experience long shot
18,deceptive,hilton,negative,MTurk,really wish could say like hotel whole experience plain awful first warn sign make reservation person spoke place reservation absolutely idea first try book wrong hotel finally get sort hotel actually want book wrong date read right date call back two day later confirm found give wrong date hilton get fix already bad feel stay come actually stay hotel people checkin desk downright rude room suppose nonsmoking room room smell strongly cigarette smoke hotel staff refuse believe let change room one nt smell cigarette however might well stayed first room short towel take four call period hour front desk get sheet change make obvious crumb fresh stain litter yes able get fresh sheet like towel take several hour deliver since pet friendly hotel lucky get stuck room next room fill yappy little dog wall paper thin could hear night barking complain staff refuse believe say wall room thick nt able hear anything next door yeah right excite use pool like room nt clean recently try fitness center half equipment broken try cut stay short course hotel would nt work even refuse comp stay grossness deal never stay hilton sure let everyone know nightmare stay
19,deceptive,hilton,negative,MTurk,family stayed hotel walk lobby expect good experience make way counter greet really knew may bad experience customer service person rude wait minute get room look like someone checked high chair request still spot food rest room water counter little toilet paper get settle go din room supper disappointed service food quality price paid luckily stay one day one day almost long
20,deceptive,hilton,negative,MTurk,disappointed hotel front desk clerk rude personal call take min get phone arrive room bed nt make last guest towel dirty call front desk make come back twelveth floor new room assignment twelveth floor downstairs clerk treat though do something wrong arrive new room found bathroom le clean hair floor toilet shower shower curtain mildew dry toothpaste spit mirror allergy start bother immediately upon enter room checked filter air conditioner look like never cleanedthe comforter stain carpet look like never saw vacuum wait acceptable room go dinner prove bad room lettuce salad brown slimmy steak rare ask medium mention taste like rotten meatthe veggie look like cooked week earlier potato shrivel dry top whole experience go turn lamp final room electrocute ambulance come get day hospital stay
21,deceptive,james,negative,MTurk,go james hotel chicago truly expect luxury experience exactly like advertising gorgeous chair staff desk focus job clean well decorate hotel room much wallet dismay found quite opposite arrive hotel late flight delayed found clerk reading magazine must fascinate article take full minute look ask reservation would make one say one give voucher print checked say single room already rent go say would pay extra two three person room wish stay night grudgingly accepted two person option jet lag set desperately need get sleep clerk offer walk room say look tire try navigate hotel would much easy get sleep accepted follow new room carry briefcase apparent time hand free ushered room set briefcase inside say need anything phone next bed would give direct line room service without dial anything thanked close door look around fully saw stay supposedly two person suite two twin bed apart cover ruffle blanket sheet cleaning staff obviously recently quick look around area found bathroom toilet paper soap even complementary one left behind get ready bed look around tv remote turn battery instead turn light roll sheet blanket turn inside try find cleaner option morning walk lobby ask check enough hotel one night clerk morning cheerful blond cheerfully ask room number hand bill room extra note baggage service ask say anyone carry bag room file baggage service ask consider reasonable charge carry suitcase room two floor rid elevator say unusual unheard offer change mere hand slip phone number name reason disagreement say manager would handle complaint clerk sign left wallet lighter head throb headache lack sleep
22,deceptive,james,negative,MTurk,recently stayed james hotel chicago trust never pay premium price expect first rate service whole experience disaster though short live bc could stay another second arrive hotel wait receptionist finish play phone service room ready wait lobby baggage finally get room would nt exactly call clean nt bad picture website nice enough furniture fall apart probably walmart plenty space average person bed small say mention uncomfortable order room service bring u wrong order take hour wall also paper thin get little sleep heater help block noise stop work middle night next morning sore uncomfortable bed hungry tire cold checked even coffee stay away
23,deceptive,james,negative,MTurk,disappointed stay james strict gluten free diet told hotel restaurant could accomodate need time sat meal would explain dietary need waiter time end send plate back gluten item include wife sleep apnea make reservation make sure ask room available outlet near bed could plug cpap machine assure problem however arrive hotel request room change outlet near bed wait lobby sometime room move yet finish benig clean overall entirely horrific stay expect hotel suppose caliber next time visit chicago stay another hotel
24,deceptive,james,negative,MTurk,initially excite found employer send chicago business could never imagine frustration irritation would heaped inept staff james chicago arrive reservation could found system although make word manager duty mr chad montgomery give room previously agree upon rate anyone make mistake nt angry point room bland colorless spite james boast attention design detail room mostly clean see stain bedding convince wash room last occupant attend stressful business meeting din room night complete cold undercooked food serve sloppy disgruntle waitstaff afterward decide relax spa treatment order assure would enjoy asha purify shower ritual would primarily take place room shower okay think must allergic jojoba oil provide broke hive body next come inroom portion shower five foulest smell candle lit room guess suppose make smell good begin choke odor minute walk room masseuse direct lie bed next portion hand wander little much like sure certain area massage menu closing ever consider stay james chicago beg reconsider handful positive thing say hotel suitcase full negative include pending court case masseuse almost guarantee would regret stay know
25,deceptive,james,negative,MTurk,james chicago would one bad hotel ever life even though notice design place extremely artistic service quality hotel condition horrible give room blanket dirty look use moment ago figure hotel busy start notice furniture come cost service television work extremely disapointed especially come rigorous day work want relax sadly settle work instead fritter time note get next disapointment wifi bust absolutely nothing stare furniture stare wall never go james hotel ever
26,deceptive,james,negative,MTurk,james chicago luxurious nice hotel advertised nt want stay hotel wife insist ok book ticket cost one room could get new honeycomb android tablet dual core processor price point room stylish though look nice tv bed fine although could nt quite understand wifi computer would even need wifi computer think experience james chicago bit expect mean food available nt tasty wait long line get ticket also hop browse internet computer wifi like bread without filling make sandwich
