id,deceptive,hotel,polarity,source,text
0,truthful,conrad,positive,TripAdvisor,stayed one night getaway family thursday triple aaa rate 173 steal 7th floor room complete 44in plasma tv bose stereo voss evian water gorgeous bathroomno tub fine u concierge helpful cannot beat location flaw breakfast pricey service slow2hours four kid four adult friday morning even though two table restaurant food good worth wait would return heartbeat gem chicago
1,truthful,hyatt,positive,TripAdvisor,triple rate upgrade view room le 200 also included breakfast voucher great view river lake wrigley bldg tribune bldg major restaurant shopping sightseeing attraction within walking distance large room comfortable bed
2,truthful,hyatt,positive,TripAdvisor,come little late im finally catching review past several month dear friend stayed hyatt regency late october 2007 one night visiting friend husband town hotel perfect imo easy check check lovely clean comfortable room great view city know area pretty well convenient many downtown chicago attraction dinner went clubing friend around division st problem getting cab back forth hyatt there even public transportation right near didnt bother since needed cab hotel parking usual chicago expensive able get car quickly however left sunday morning exactly high traffic time although bear homegame day bit busier usual would think problem best part got rate 100 hotwire downright steal area chicago quality hotel
3,truthful,omni,positive,TripAdvisor,omni chicago really delivers front spaciousness room helpful staff prized location michigan avenue address chicago requires high level quality omni delivers check whole group people 3 minute staff plentiful recommendation dining event room largest youll find price range chicago even standard room separate living area work desk fitness center free weight weight machine two row cardio equipment shared room 7 others feel cramped way great property
4,truthful,hyatt,positive,TripAdvisor,asked high floor away elevator got room pleasantly decorated functional clean didnt need whole lot service pleasant prompt used fitness center well equipped everything working order great location one end michigan avenue shopping district
5,truthful,omni,positive,TripAdvisor,stayed omni one night following business meeting another downtown chicago hotel completely impressed service personnel stay absolutely outstanding checked quite early problem efficiently checked room somewhat heavy scent air freshener negative entire stay managed reasonably well opening window dont generally require much hotel stay suffice say doorman housekeeping night manager bartender 676 day waiter 676 concierge amazing never waited 30 second anything room comfy amenity superior one tiny complaint wastebasket near sink near wet bar walk end bathroom sitting room dispose kleenexcoffee paraphernalia one wastebasket would make difference said great hotel thanks omni great stay
6,truthful,conrad,positive,TripAdvisor,stayed conrad 4 night thanksgiving corner room overlooking n michigan av tribune building say 5 star hotel damn place faint praise wonderful staff unbelievably helpful standard room superb hd plasma screen luxury bedlinens ipod radio huge bathroom location unbeatable right heart everything watched whole light festival parade window breakfast excellent help buffet full attentive table service would hesitation recommending staying hotel 5 5
7,truthful,omni,positive,TripAdvisor,got back 2 day chicago shopping girlfriend first time stayed omni saw 12900 rate included 2500 free food travelzoo three u 55 year old stayed one suite 2 double bed comfortable pull sofa plenty room food restaurant great service outstanding everone came contact early morning delivery free coffee juice hot chocolate fabulous recommendation staff eat time movie shopping area etc really helpful need mention outstanding location simply best decided omni new favorite hotel
8,truthful,omni,positive,TripAdvisor,arrived omni 2nd september 6 day stay took ill left plane travelling manchester saw room anticipated couldnt go 4 day room spacious clean bed extremely comfortable bathroom large clean could ask coffee juice left outside door every morning time requested managed go 5th floor see sun terrace outside gym sun terrace city hotel great idea terrace bit grim sunbeds concrete floor also noise air conditioning unit could bit cheering saw chicago pleasing something everyone would go back omni yes would
9,truthful,hyatt,positive,TripAdvisor,visit chicago chose hyatt due location downtown within walking distance major attraction sears tower magnificent mile grantmillenium park etc subway bus stop close travel location city overall hotel nice clean great location safe area went beautiful wrigley field soldier field saw team play love chicago would defenitely stay
10,truthful,fairmont,positive,TripAdvisor,stayed fairmont chicago one night im frequent business traveler familiar travel ritual checked late almost 10pm due flight cancellation home airport atlanta took shuttle airport best option lieu priced taxi first time staying hotel upon arrival immediately noticed entrance appeared welcoming warm checked problem desk person even asked id prefer king double reconfirming reservation preference always take king bed fantastic suited great linen incredible feather pillow named encompass made pillow factory checked tag since plan buy ate dinner hotel restaurant aria mention like considered separate hotel yes stand food asian fusion truly wonderful gourmand lifelong foodie appreciate great food taste hotel service good well drawback breakfast buffet restaurant seems need stick dinner theme solely missed mark relatively simply thing like scrambled egg buffet tasted bit metallic made getting special order made immediately passed buffet would highly recommend hotel atmosphere great view get room one fabulous dinner pas breakfast buffet
11,truthful,conrad,positive,TripAdvisor,ok first trip chicago litlle worried hotel location finally decided conrad wath good experience booked king deluxe room 6th floor view amazing coplaint could room nice bath appliance good size good plasma tv free internet asked one day breaksfast amazing food overall price aroufn 220 great surprise locating good block everything quiet hotel
12,truthful,hyatt,positive,TripAdvisor,arrived 1030 friday room ready u 1130 mind check 300pm got room priceline 6500 per night stayed 3 night upgraded free suite think blown away forgot thank checkin room fantastic also wet bar fridge bathroom quite large nice sized closet many hanger knew previous review touch minibar bed pillow comfortable room clean every employee went way friendly helpful stayed 25th floor east tower quiet room yes could hear people hallway rude yelling child adult dont know everyone complains 48 parking chicago every hotel saw charged much without inout privledges didnt use restaurant health club tried eat corner bakery crowded breakfast nearby houlihans buffet 999 per person also grocery store behind hotel great 711 far away dont know many bad review hotel yes big hotel dont want busy lobby dont stay 2000 plus room hotel loved hotel would recommend anyone one problem wasnt busy would stay heartbeat
13,truthful,conrad,positive,TripAdvisor,wife came spend weekend downtown chicago shopping found conrad hotel well located close everything downtown size doesnt make feel lost convention world feeling staying larger hotel past suite view michigan avenue bit lake end staff professional pleasant friendly making u feel comfortable internet free n room making review
14,truthful,hyatt,positive,TripAdvisor,got sunday night stay 50 pricelinecom would hard complainbut truly great hotel even paid double first impression get walk sliding door hyatt regency chicago wow lobby beautiful upscale mall type look open area restaurant plenty couchesseats etc people watch lake water fountain take escalator conciergedirectorycheck area hotel let check 12pm 3pm check time suggest call ahead like know coming earlythe woman desk friendly requested higher level floor happy look even told room 18th floor veiw river go higher view thought pretty nice give information wouldnt get stuck room view wall room big double room bed beautiful great pillowsblanketsheadboards etc ipod alarm clock nice 21st century touch room great plug ipod listen music get ready night relaxing long day touring chicago view nice bathroom spotless great toiletry another great feature concierge area computer give access printing boarding pas get airport simply look screen click airline icon following instruction boarding pass minute came handy got ohare able skip long line frustrated passenger hotel 1 day far one better hotel experience travel alot business hotel definitely great choice family couple definitely would stay im passing chicago
15,truthful,conrad,positive,TripAdvisor,superb hotel room huge including luxurious bathroom clean service first rate breakfast excellent complimentary hilton honor member hotel good location connected mall imagine would great asset chicago winter next time go chicago stay sure
16,truthful,conrad,positive,TripAdvisor,stayed conrad 2 night friend reunion room clean new feeling nice city view free bottled water room upon arrival check breeze room ready even though several hour early staff friendly helpful excellent breakfast
17,truthful,conrad,positive,TripAdvisor,conrad hotel beautiful hotel room perfect beautiful every way impressed hard please high standard clean aesthetically pleasing date gorgeous would definitely stay loved location superb attached nordstrom northbridge mall cant wait go back
18,truthful,conrad,positive,TripAdvisor,boyfriend decided stay conrad chicago anniversary second walked immediately won look feel room white luxurous bedding king bed plasma tv subroofer surround sound speaker boyfriend impressed reminded didnt come chicago hotel room large bathroom w tub separate standin shower granite countertop robe slipper view wasnt great 6th floor really high enough see anything side building next u large room mean didnt go city hotel room prefect size amount time actually room got great rate 140 hotelscom think going rate usually closer mid 200s ive stayed quite hotel downtown area none ever impressed one definitely staying next trip city
19,truthful,omni,positive,TripAdvisor,got good deal weekend pacage hotel say nicest stay dozen business trip chicago room suite staff friendly professional restaurant world extra like great health club turn service complimentary morning beverage delivered room room clean every need attended without feeling intruded definately stay
20,truthful,fairmont,positive,TripAdvisor,stayed fairmont night found whole experience excellent given large room great view city breakfast extremely good location central could wished pool large felt luxurious great early morning swim evening spent time hotel bar friend excellent highly recommended base exploring chicago
21,truthful,fairmont,positive,TripAdvisor,went chicago see exhibit art institute selected fairmont close although lobby still renovated experience hotel uniformly positive room nicely sized newly remodeled immaculate glitch involved getting room coffee replenished maid bedtime first night still didnt coffee called front desk immediately delivered fresh supply restaurant little underwhelming many place go within block probably wouldnt eaten stayed close dozen different chicago hotel may hotel return whenever return
22,truthful,fairmont,positive,TripAdvisor,actually booked reservation hotel phone got great rate much lower usual price lovely hotel beautifully appointed walking distance place wanted go would highly recommend fairmont
23,truthful,hyatt,positive,TripAdvisor,named price priceline 5000 buck hotel room great clean clean new fresh crisp sheet comfortable bed flat screen tv clean carpet nice bath etc short distance food sightseeing highly recommend property prepared pay 4000 per night park hey hyatt also charge 500 bottle water normally buck total 10000 nightly stay chicago place dont drink bottled water happy travel
24,truthful,hyatt,positive,TripAdvisor,checkin fast room perfect problem standard bigcity business hotel every amenity imaginable got good deal onenight stay made money back exorbitant parking rate absurd access fee wireless internet bored routine hotel fare walk two block gourmet pantry 155 n michigan refreshing change
25,truthful,conrad,positive,TripAdvisor,arrived 060405 greeted friendly doorman zipped 5th floor lobby open lobby area friendly reception staff room 12th floor nice everything order clean king size bed nice night restful sleep bathroom large separate glass shower stall room furnished everything needed including internet hookup access also walk thru 5th fl westfield north bridge shopping mall enjoy nordstrom store course youre step michigan ave central location hotel great could walk place cta subway stop grand ave red line easy 2 block walk stay next trip chicago
26,truthful,fairmont,positive,TripAdvisor,simply nice place stay great deal room impressed quality hotel staff helpful able let check helped print boarding pass negative frustrating nowadays free internet hotel pay internet negative loud phone may hear neighbor phone shower
27,truthful,conrad,positive,TripAdvisor,stayed conrad one evening amazing room would liked stay longer newly renovated 9th floor room gorgeous super clean flat screen bose sound system even ihome ipod wireless free bring free bottle water turn everyone helpful friendly cant wait go back
